,type,ontime,overdue
141,No Utilities - Food Establishment - Flood,1,0
142,Walk-In Service Inquiry,0,0
143,Student Overcrowding,1,0
144,Dumpster & Loading Noise Disturbances,5,0
145,Carbon Monoxide,0,0
146,Cemetery Maintenance Request,0,0
147,Valet Parking Problems,0,0
148,Aircraft Noise Disturbance,5,0
149,Phone Bank Service Inquiry,0,0
150,Requests for Directional or Roadway Changes,1,0
151,No Price on Gas/Wrong Price,0,0
152,Municipal Parking Lot Complaints,0,0
153,Planting,0,1
154,Big Buildings Online Request,0,0
155,Bridge Maintenance,0,0
156,Lead,2,3
157,Private Parking Lot Complaints,0,0
158,No Utilities - Food Establishment - Electricity,0,0
159,Mosquitoes (West Nile),2,1
160,Sign Shop WO,1,0
161,Occupying W/Out A Valid CO/CI,0,1
162,Rat Bite,1,0
163,Illegal Use,0,2
164,Product Short Measure,0,1
165,Student Move-in Issues,2,0
166,Pickup/Clear Conduit,0,0
167,Fire Department Request,3,0
168,City/State Snow Issues,4,0
169,Short Measure - Gas,0,0
170,Street Light Longterm Repair,0,0
171,Alert Boston,0,0
172,Heat/Fuel Assistance,0,0
173,Water in Gas - High Priority,0,0
174,Snow/Ice Control,0,0
