,type,ontime,overdue
62,Chronic Dampness/Mold,5,6
63,Illegal Posting of Signs,12,0
64,Catchbasin,47,0
65,Street Light Knock Downs,60,8
66,Knockdown Replacement,23,10
67,Utility Casting Repair,18,0
68,Sticker Request,333,6
69,Missing Sign,13,14
70,Tree Emergencies,193,26
71,BWSC Pothole,5,0
72,Parks Lighting/Electrical Issues,11,18
73,Sidewalk Repair,56,0
74,Contractor Complaints,43,21
75,General Lighting Request,52,11
76,Construction Debris,25,0
77,Illegal Auto Body Shop,3,14
78,StreetLight Pole WO,3,15
79,Pavement Marking Inspection,2,0
80,Bed Bugs,1,9
81,Illegal Occupancy,3,18
82,Exceeding Terms of Permit,6,51
83,Work w/out Permit,21,238
84,Fire Hydrant,15,0
85,Pavement Marking Maintenance,0,0
86,Parking on Front/Back Yards (Illegal Parking),18,0
87,Big Buildings Recycling (INTERNAL),0,0
88,Pest Infestation - Residential,117,55
89,Item Price Missing,1,1
90,Major System Failure,17,3
91,Poor Ventilation,1,1
92,Unit Pricing Wrong/Missing,2,1
93,Overcrowding,5,2
94,Egress,8,0
95,Illegal Rooming House,3,27
96,Maintenance Complaint - Residential,13,18
97,No Utilities Residential - Water,1,1
98,Animal Noise Disturbances,12,0
99,Undefined Noise Disturbance,6,0
100,Park Improvement Requests,1,0
101,Misc. Snow Complaint,29,0
102,Transportation General Request,34,0
103,Work Hours-Loud Noise Complaints,12,9
104,News Boxes,0,0
105,Traffic Signal Repair,4,1
106,Cross Metering - Sub-Metering,8,6
107,Litter Basket Maintenance,8,0
108,No Utilities Residential - Gas,0,1
109,Loud Parties/Music/People,33,0
110,General Traffic Engineering Request,5,0
111,Sidewalk Cover / Manhole,35,0
112,Sewage/Septic Back-Up,3,0
113,Parking Meter Repairs,0,0
114,No Utilities - Food Establishment - Water,2,0
115,Roadway Repair,14,0
116,Tree in Park,8,0
117,Public Events Noise Disturbances,1,0
118,No Utilities - Food Establishment - Sewer,0,0
119,Plumbing,0,1
120,Food Alert - Unconfirmed,1,0
121,Zoning,0,4
122,Pole Compliance,3,9
123,Food Alert - Confirmed,2,3
124,Trash on Vacant Lot,11,4
125,Scale Not Visible,0,0
126,Unsatisfactory Utilities - Electrical  Plumbing,5,3
127,Automotive Noise Disturbance,5,0
128,Bicycle Issues,1,0
129,Mechanical,1,1
130,Unsanitary Conditions - Employees,62,7
131,Illegal Vending,11,3
132,Upgrade Existing Lighting,0,0
133,Utility Call-In,3,1
134,No-Tow Complaint Confirmation,4,0
135,Install New Lighting,2,1
136,Scanning Overcharge,4,0
137,Abandoned Building,6,5
138,Billing Complaint,0,0
139,Fire in Food Establishment,1,0
140,New Tree Warrantee Inspection,0,0
141,No Utilities - Food Establishment - Flood,0,0
142,Walk-In Service Inquiry,0,0
143,Student Overcrowding,0,0
144,Dumpster & Loading Noise Disturbances,1,0
145,Carbon Monoxide,1,1
146,Cemetery Maintenance Request,0,0
147,Valet Parking Problems,0,0
148,Aircraft Noise Disturbance,6,0
149,Phone Bank Service Inquiry,0,0
150,Requests for Directional or Roadway Changes,4,0
151,No Price on Gas/Wrong Price,1,0
152,Municipal Parking Lot Complaints,0,0
153,Planting,0,0
154,Big Buildings Online Request,3,0
155,Bridge Maintenance,1,0
156,Lead,1,0
157,Private Parking Lot Complaints,0,0
158,No Utilities - Food Establishment - Electricity,4,0
159,Mosquitoes (West Nile),0,2
160,Sign Shop WO,0,0
161,Occupying W/Out A Valid CO/CI,0,0
162,Rat Bite,2,0
163,Illegal Use,0,0
164,Product Short Measure,0,0
165,Student Move-in Issues,0,0
166,Pickup/Clear Conduit,1,0
167,Fire Department Request,0,0
168,City/State Snow Issues,3,0
169,Short Measure - Gas,0,0
170,Street Light Longterm Repair,0,0
171,Alert Boston,0,0
172,Heat/Fuel Assistance,0,0
173,Water in Gas - High Priority,0,0
174,Snow/Ice Control,0,0
